age,religious_service,religious
67,7,no
20,5,yes
35,4,yes
75,10,no
20,2,yes
19,5,no
45,5,no
20,0,no
21,0,no
20,0,no
20,1,no
35,5,no
12,5,yes
5,4,yes
9,4,yes
10,4,yes
34,6,yes
40,4,yes
29,4,yes
23,0,yes
22,2,yes
30,3,yes
50,2,yes
65,4,yes
17,4,no
16,4,no
16,3,yes
15,4,yes
14,4,no
21,1,yes
23,3,yes
18,4,yes
21,0,no
21,0,no
22,0,no
20,0,no
21,0,no
19,0,no
20,0,no
19,1,yes
21,1,no
20,1,no
20,0,no
20,2,no
21,0,no
18,0,no
17,1,no
19,1,no
23,0,no
22,0,no
19,1,no
20,1,no
21,0,no
22,0,no
21,1,no
20,2,no
24,2,no
35,4,yes
20,2,yes
20,2,yes
37,1,no
33,0,no
32,1,yes
31,1,yes
33,1,yes
51,4,yes
50,4,yes
52,4,yes
45,4,yes
47,4,yes
84,12,no
19,0,yes
14,3,yes
16,3,yes
13,3,yes
12,2,yes
11,2,yes
10,2,yes
45,3,yes
50,4,no
12,1,no
14,2,no
15,2,yes
66,6,yes
12,4,yes
12,4,yes
13,4,yes
14,4,yes
10,4,yes
11,4,yes
13,2,yes
17,5,yes
15,6,no
13,2,no
12,3,no
43,4,yes
23,5,yes
33,1,yes
24,1,no
18,1,no
